id,refInterna,nome,concelho,estado,promotor,tipologias,conclusaoAno,conclusaoMes,preco_m2,precoPedido,link,_lat,_lng,isEmpreendimento
torrinha-gardens,,TORRINHA GARDENS,PORTO,em_construcao,KOKYU PROPERTIES,T1 | T2,2027,12,,,https://kokyuproperties.com/pt/projects/torrinha-gardens/index.html,41.15272879557559,-8.62132977433331,true
boucas-ribas,,BOUÇAS RIBAS,PORTO,licenciado,,T1 | T2 | T3,2028,12,,,https://boucaribas.com,41.16102686008893,-8.574724811453944,true
clover-hill,,CLOVER HILL,PORTO,em_construcao,,T1 | T2,2027,12,,,https://www.anteprojectos.com.pt/projectos/39021/cloverhill,41.15608235257066,-8.60240373200569,true
bonart-homes,,BONART HOMES,PORTO,em_construcao,NOREON,T0 | T1 | T2 | T3 | T3 DUP,2027,12,,,http://bonart.pt,41.14975548981146,-8.593481086508765,true
edificio-nasoni,,EDIFICIO NASONI,PORTO,em_construcao,,T1 | T2,2027,12,,,https://www.replica.pt/empreendimentos/detalhe/edificio-nasoni_534/pt,41.16997484377902,-8.579081889677575,true
ferreira-castro-flats,,FERREIRA CASTRO FLATS,PORTO,em_construcao,PORTOBAIXA,T0 | T1 | T2 | T3,2026,12,,,https://portobaixa.pt,41.15092817890355,-8.593203933652424,true
guerra-junqueiro---gj-432,,GUERRA JUNQUEIRO - GJ 432,PORTO,licenciado,PORTOBAIXA,T2 | T3,2028,12,,,https://portobaixa.pt,41.15699358401292,-8.636762289678124,true
cartes-l3,,CARTES L3,PORTO,licenciado,CARMAM INVESTIMENTOS IMOBILIÁRIOS,T0 | T1,2028,12,,,https://carfam.pt/projectos-em-desenvolvimento/cartes-l3/,41.16140986278274,-8.57400901851421,true
eden,,EDEN,PORTO,em_construcao,NOMAD,T1 | T2 | T3 | T4 | T5,2027,12,,,https://www.nomadeden.com,41.16351582742485,-8.677519848431455,true
ouro-valley,,OURO VALLEY,GONDOMAR,em_construcao,GFH (Global Financial Housing),T2 | T3,2027,12,,,https://gfh.pt/pt/portfolio/ouro-valley/,41.166472610941376,-8.549377901404133,true
limites-de-espinho,,LIMITES DE ESPINHO,ESPINHO,em_construcao,PURO IMPACTO LDA,T2,2027,12,,,https://remax.pt/pt/empreendimento/empreendimento-rua-dos-limites/8465,40.98357002058062,-8.622787544637047,true
